#At time x allocated y bytes for process z from i to j
At time 5 allocated 244 bytes for process 1 from 0 to 255
At time 10 allocated 189 bytes for process 2 from 256 to 511
At time 11 allocated 2 bytes for process 3 from 512 to 513
At time 13 allocated 94 bytes for process 4 from 640 to 767
At time 20 allocated 62 bytes for process 5 from 576 to 639
At time 29 freed 62 bytes from process 5 from 576 to 639
At time 57 freed 244 bytes from process 1 from 0 to 255
At time 74 freed 2 bytes from process 3 from 512 to 513
At time 84 freed 94 bytes from process 4 from 640 to 767
At time 87 freed 189 bytes from process 2 from 256 to 511
