#At time x allocated y bytes for process z from i to j
At time 0 allocated 128 bytes for process 1 from 0 to 127
At time 1 allocated 256 bytes for process 2 from 256 to 511
At time 2 freed 128 bytes from process 1 from 0 to 127
At time 3 freed 256 bytes from process 2 from 256 to 511
At time 4 allocated 64 bytes for process 1 from 0 to 63
At time 5 allocated 128 bytes for process 2 from 128 to 255
At time 6 allocated 32 bytes for process 3 from 64 to 95
At time 7 allocated 256 bytes for process 4 from 256 to 511
At time 8 allocated 512 bytes for process 5 from 512 to 1023
At time 13 freed 512 bytes from process 5 from 512 to 1023
At time 12 freed 256 bytes from process 4 from 256 to 511
At time 11 freed 32 bytes from process 3 from 64 to 95
At time 10 freed 128 bytes from process 2 from 128 to 255
At time 9 freed 64 bytes from process 1 from 0 to 63
At time 20 allocated 32 bytes for process 1 from 0 to 31
At time 21 allocated 32 bytes for process 2 from 32 to 63
At time 22 allocated 32 bytes for process 3 from 64 to 95
At time 23 allocated 32 bytes for process 4 from 96 to 127
At time 24 allocated 32 bytes for process 5 from 128 to 159
At time 25 allocated 32 bytes for process 6 from 160 to 191
At time 26 allocated 32 bytes for process 7 from 192 to 223
At time 27 allocated 32 bytes for process 8 from 224 to 255
At time 30 freed 32 bytes from process 1 from 0 to 31
At time 32 freed 32 bytes from process 3 from 64 to 95
At time 34 freed 32 bytes from process 5 from 128 to 159
At time 36 freed 32 bytes from process 7 from 192 to 223
At time 41 freed 32 bytes from process 2 from 32 to 63
At time 43 freed 32 bytes from process 4 from 96 to 127
At time 45 freed 32 bytes from process 6 from 160 to 191
At time 47 freed 32 bytes from process 8 from 224 to 255
At time 50 allocated 128 bytes for process 101 from 0 to 127
At time 51 freed 128 bytes from process 101 from 0 to 127
#At time x allocated y bytes for process z from i to j
At time 0 allocated 128 bytes for process 1 from 0 to 127
At time 1 allocated 256 bytes for process 2 from 256 to 511
At time 2 freed 128 bytes from process 1 from 0 to 127
At time 3 freed 256 bytes from process 2 from 256 to 511
At time 4 allocated 64 bytes for process 1 from 0 to 63
At time 5 allocated 128 bytes for process 2 from 128 to 255
At time 6 allocated 32 bytes for process 3 from 64 to 95
At time 7 allocated 256 bytes for process 4 from 256 to 511
At time 8 allocated 512 bytes for process 5 from 512 to 1023
At time 13 freed 512 bytes from process 5 from 512 to 1023
At time 12 freed 256 bytes from process 4 from 256 to 511
At time 11 freed 32 bytes from process 3 from 64 to 95
At time 10 freed 128 bytes from process 2 from 128 to 255
At time 9 freed 64 bytes from process 1 from 0 to 63
At time 20 allocated 32 bytes for process 1 from 0 to 31
At time 21 allocated 32 bytes for process 2 from 32 to 63
At time 22 allocated 32 bytes for process 3 from 64 to 95
At time 23 allocated 32 bytes for process 4 from 96 to 127
At time 24 allocated 32 bytes for process 5 from 128 to 159
At time 25 allocated 32 bytes for process 6 from 160 to 191
At time 26 allocated 32 bytes for process 7 from 192 to 223
At time 27 allocated 32 bytes for process 8 from 224 to 255
At time 30 freed 32 bytes from process 1 from 0 to 31
At time 32 freed 32 bytes from process 3 from 64 to 95
At time 34 freed 32 bytes from process 5 from 128 to 159
At time 36 freed 32 bytes from process 7 from 192 to 223
At time 41 freed 32 bytes from process 2 from 32 to 63
At time 43 freed 32 bytes from process 4 from 96 to 127
At time 45 freed 32 bytes from process 6 from 160 to 191
At time 47 freed 32 bytes from process 8 from 224 to 255
At time 52 allocated 256 bytes for process 102 from 0 to 255
At time 53 freed 256 bytes from process 102 from 0 to 255
#At time x allocated y bytes for process z from i to j
At time 0 allocated 128 bytes for process 1 from 0 to 127
At time 1 allocated 256 bytes for process 2 from 256 to 511
At time 2 freed 128 bytes from process 1 from 0 to 127
At time 3 freed 256 bytes from process 2 from 256 to 511
At time 4 allocated 64 bytes for process 1 from 0 to 63
At time 5 allocated 128 bytes for process 2 from 128 to 255
At time 6 allocated 32 bytes for process 3 from 64 to 95
At time 7 allocated 256 bytes for process 4 from 256 to 511
At time 8 allocated 512 bytes for process 5 from 512 to 1023
At time 13 freed 512 bytes from process 5 from 512 to 1023
At time 12 freed 256 bytes from process 4 from 256 to 511
At time 11 freed 32 bytes from process 3 from 64 to 95
At time 10 freed 128 bytes from process 2 from 128 to 255
At time 9 freed 64 bytes from process 1 from 0 to 63
At time 20 allocated 32 bytes for process 1 from 0 to 31
At time 21 allocated 32 bytes for process 2 from 32 to 63
At time 22 allocated 32 bytes for process 3 from 64 to 95
At time 23 allocated 32 bytes for process 4 from 96 to 127
At time 24 allocated 32 bytes for process 5 from 128 to 159
At time 25 allocated 32 bytes for process 6 from 160 to 191
At time 26 allocated 32 bytes for process 7 from 192 to 223
At time 27 allocated 32 bytes for process 8 from 224 to 255
At time 30 freed 32 bytes from process 1 from 0 to 31
At time 32 freed 32 bytes from process 3 from 64 to 95
At time 34 freed 32 bytes from process 5 from 128 to 159
At time 36 freed 32 bytes from process 7 from 192 to 223
At time 41 freed 32 bytes from process 2 from 32 to 63
At time 43 freed 32 bytes from process 4 from 96 to 127
At time 45 freed 32 bytes from process 6 from 160 to 191
At time 47 freed 32 bytes from process 8 from 224 to 255
