#At time x process y state arr w total z remain y wait k
At time 0 process 1 arrived arr 0 total 20 remain 20 wait 0
At time 0 process 3 arrived arr 0 total 5 remain 5 wait 0
At time 0 process 2 arrived arr 0 total 4 remain 4 wait 0
At time 0 process 2 started arr 0 total 4 remain 4 wait 0
At time 2 process 4 arrived arr 2 total 2 remain 2 wait 0
At time 4 process 2 finished arr 0 total 4 remain 0 wait 0
At time 4 process 5 arrived arr 4 total 10 remain 10 wait 0
At time 4 process 6 arrived arr 4 total 3 remain 3 wait 0
At time 4 process 6 started arr 4 total 3 remain 3 wait 0
At time 6 process 7 arrived arr 6 total 1 remain 1 wait 0
At time 7 process 6 finished arr 4 total 3 remain 0 wait 0
At time 7 process 9 arrived arr 7 total 15 remain 15 wait 0
At time 7 process 8 arrived arr 7 total 15 remain 15 wait 0
At time 7 process 9 started arr 7 total 15 remain 15 wait 0
At time 12 process 10 arrived arr 12 total 4 remain 4 wait 0
At time 15 process 11 arrived arr 15 total 3 remain 3 wait 0
At time 15 process 12 arrived arr 15 total 8 remain 8 wait 0
At time 15 process 13 arrived arr 15 total 2 remain 2 wait 0
At time 18 process 14 arrived arr 18 total 0 remain 0 wait 0
At time 20 process 15 arrived arr 20 total 30 remain 30 wait 0
At time 22 process 9 finished arr 7 total 15 remain 0 wait 0
At time 22 process 8 started arr 7 total 15 remain 15 wait 15
At time 25 process 16 arrived arr 25 total 2 remain 2 wait 0
At time 25 process 17 arrived arr 25 total 2 remain 2 wait 0
At time 37 process 8 finished arr 7 total 15 remain 0 wait 15
At time 37 process 13 started arr 15 total 2 remain 2 wait 22
At time 39 process 13 finished arr 15 total 2 remain 0 wait 22
At time 39 process 16 started arr 25 total 2 remain 2 wait 14
At time 41 process 16 finished arr 25 total 2 remain 0 wait 14
At time 41 process 17 started arr 25 total 2 remain 2 wait 16
At time 43 process 17 finished arr 25 total 2 remain 0 wait 16
At time 43 process 4 started arr 2 total 2 remain 2 wait 41
At time 45 process 4 finished arr 2 total 2 remain 0 wait 41
At time 45 process 5 started arr 4 total 10 remain 10 wait 41
At time 55 process 5 finished arr 4 total 10 remain 0 wait 41
At time 55 process 11 started arr 15 total 3 remain 3 wait 40
At time 58 process 11 finished arr 15 total 3 remain 0 wait 40
At time 58 process 12 started arr 15 total 8 remain 8 wait 43
At time 66 process 12 finished arr 15 total 8 remain 0 wait 43
At time 66 process 1 started arr 0 total 20 remain 20 wait 66
At time 86 process 1 finished arr 0 total 20 remain 0 wait 66
At time 86 process 10 started arr 12 total 4 remain 4 wait 74
At time 90 process 10 finished arr 12 total 4 remain 0 wait 74
At time 90 process 14 started arr 18 total 0 remain 0 wait 72
At time 91 process 14 finished arr 18 total 0 remain 0 wait 72
At time 91 process 7 started arr 6 total 1 remain 1 wait 85
At time 92 process 7 finished arr 6 total 1 remain 0 wait 85
At time 92 process 3 started arr 0 total 5 remain 5 wait 92
At time 97 process 3 finished arr 0 total 5 remain 0 wait 92
At time 97 process 15 started arr 20 total 30 remain 30 wait 77
At time 127 process 15 finished arr 20 total 30 remain 0 wait 77
